,lot,am_or_pm,browser_info,company,credit_card,cc_exp_date,cc_security_code,cc_provider,job,ip_address,language,purchase_price
0,46 in,PM,Opera/9.56.(X11; Linux x86_64; sl-SI) Presto/2.9.183 Version/12.00,Martinez-Herman,6011929061123406,02/20,900,JCB 16 digit,"Scientist, product/process development",149.146.147.205,el,98.14
1,28 rn,PM,Opera/8.93.(Windows 98; Win 9x 4.90; en-US) Presto/2.9.176 Version/11.00,"Fletcher, Richards and Whitaker",3337758169645356,11/18,561,Mastercard,Drilling engineer,15.160.41.51,fr,70.73
2,94 vE,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/5.1),"Simpson, Williams and Pham",675957666125,08/19,699,JCB 16 digit,Customer service manager,132.207.160.22,de,0.95
3,36 vm,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_0 rv:3.0; en-US) AppleWebKit/531.27.1 (KHTML, like Gecko) Version/5.1 Safari/531.27.1","Williams, Marshall and Buchanan",6011578504430710,02/24,384,Discover,Drilling engineer,30.250.74.19,es,78.04
4,20 IE,AM,Opera/9.58.(X11; Linux x86_64; it-IT) Presto/2.9.182 Version/11.00,"Brown, Watson and Andrews",6011456623207998,10/25,678,Diners Club / Carte Blanche,Fine artist,24.140.33.94,es,77.82
5,21 XT,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_5) AppleWebKit/5312 (KHTML, like Gecko) Chrome/14.0.884.0 Safari/5312",Silva-Anderson,30246185196287,07/25,7169,Discover,Fish farm manager,55.96.152.147,ru,25.15
6,96 Xt,AM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.0; Trident/3.0),Gibson and Sons,6011398782655569,07/24,714,VISA 16 digit,Dancer,127.252.144.18,de,88.56
7,96 pG,PM,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5350 (KHTML, like Gecko) Chrome/15.0.841.0 Safari/5350",Marshall-Collins,561252141909,06/25,256,VISA 13 digit,Event organiser,224.247.97.150,pt,44.25
8,45 JN,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_9) AppleWebKit/5330 (KHTML, like Gecko) Chrome/14.0.898.0 Safari/5330",Galloway and Sons,180041795790001,04/24,899,JCB 16 digit,Financial manager,146.234.201.229,ru,59.54
9,15 Ug,AM,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2011-11-30 06:02:34 Firefox/9.0,"Rivera, Buchanan and Ramirez",4396283918371,01/17,931,American Express,Forensic scientist,236.198.199.8,zh,95.63
10,65 Yn,PM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; sl-SI) AppleWebKit/531.41.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B116 Safari/6531.41.4","Strickland, Michael and Gonzales",180036417827355,02/17,754,Voyager,"Development worker, community",26.59.93.1,el,96.89
11,30 kK,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2014-05-12 06:09:34 Firefox/3.6.9,Kim-Oliver,869975209012056,06/26,9717,JCB 15 digit,Diagnostic radiographer,128.222.40.234,en,19.26
12,69 DO,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_3 rv:2.0; sl-SI) AppleWebKit/532.38.2 (KHTML, like Gecko) Version/5.0.1 Safari/532.38.2",Moore-Martin,5115990487067905,05/26,119,VISA 16 digit,"Surveyor, quantity",236.71.234.240,en,39.65
13,36 bu,PM,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_6 rv:5.0; en-US) AppleWebKit/531.44.5 (KHTML, like Gecko) Version/5.0 Safari/531.44.5",Keller PLC,4603635169938574,01/25,557,VISA 16 digit,"Accountant, chartered public finance",84.212.92.11,it,8.93
14,70 zH,AM,Mozilla/5.0 (Windows 98; it-IT; rv:1.9.2.20) Gecko/2013-01-15 08:05:10 Firefox/3.8,"Leach, Howe and Ferguson",869967499275071,09/22,427,VISA 16 digit,Acupuncturist,50.25.148.1,de,24.18
15,41 Cj,PM,Opera/8.95.(Windows NT 5.0; en-US) Presto/2.9.164 Version/11.00,Garcia-Steele,180069437020404,04/25,404,Diners Club / Carte Blanche,Retail manager,53.176.235.33,el,71.78
16,31 ho,AM,Opera/9.73.(Windows NT 6.2; sl-SI) Presto/2.9.187 Version/11.00,"Stanton, Villanueva and Swanson",676121145525,06/22,285,Diners Club / Carte Blanche,"Therapist, art",8.145.170.52,de,84.44
17,23 Rh,PM,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1),"Fernandez, Melton and Gilbert",3337515540944084,01/26,771,American Express,"Designer, jewellery",223.25.125.61,el,58.68
18,17 SB,PM,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2015-12-01 10:21:36 Firefox/15.0,"Beard, Abbott and Pena",6011350184276270,12/22,767,Mastercard,Photographer,73.250.176.201,el,70.15
19,99 CU,PM,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/3.1),Turner-Mckinney,676343504830,02/20,440,VISA 16 digit,"Designer, interior/spatial",25.105.209.214,fr,58.39
20,23 dk,PM,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/533.49.6 (KHTML, like Gecko) Version/5.1 Safari/533.49.6","Santana, Montes and Pierce",6011833038852776,03/22,740,Maestro,Public relations officer,250.71.54.180,de,30.33
21,24 RZ,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/5.0),Guzman-Reese,5491255326230898,03/25,506,JCB 16 digit,"Presenter, broadcasting",125.58.66.253,it,90.93
22,45 oa,PM,"Mozilla/5.0 (Windows 95) AppleWebKit/5342 (KHTML, like Gecko) Chrome/15.0.879.0 Safari/5342",Burnett Ltd,3158663456056588,07/22,508,Discover,Retail manager,65.106.61.141,en,33.62
23,31 pS,PM,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),Cruz Inc,502010078983,02/23,60,VISA 13 digit,Field seismologist,25.193.145.116,ru,97.97
24,62 Ac,AM,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/4.1),Morris PLC,4749728852401144,07/18,11,JCB 15 digit,Musician,21.113.231.220,es,85.31
25,66 SO,PM,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_7_1; rv:1.9.6.20) Gecko/2011-10-24 13:49:14 Firefox/3.8,Saunders-Mendez,869938033091779,05/19,901,Voyager,Training and development officer,67.26.186.226,de,6.25
26,40 ND,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_3) AppleWebKit/5311 (KHTML, like Gecko) Chrome/15.0.868.0 Safari/5311","Stephens, Johnson and Combs",60488441233,03/19,70,VISA 13 digit,Barrister's clerk,61.197.134.185,en,17.75
27,34 JQ,PM,Opera/9.75.(Windows NT 6.0; en-US) Presto/2.9.188 Version/12.00,"Levine, Shaw and Jenkins",869948145612941,12/16,310,Diners Club / Carte Blanche,Careers adviser,177.220.131.93,es,39.4
28,17 kP,PM,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.23.1 (KHTML, like Gecko) Version/4.0.5 Safari/532.23.1",Reed Inc,180026477662982,11/24,16,JCB 15 digit,"Scientist, research (life sciences)",142.131.235.225,es,70.75
29,93 OP,PM,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_7 rv:6.0; en-US) AppleWebKit/534.15.1 (KHTML, like Gecko) Version/5.0 Safari/534.15.1",Goodwin Ltd,4170734785397597,07/22,319,Maestro,Recycling officer,218.189.145.248,it,82.16
30,76 zr,PM,"Mozilla/5.0 (Windows NT 6.2) AppleWebKit/5341 (KHTML, like Gecko) Chrome/13.0.847.0 Safari/5341",Mills-Stewart,4262383666841320,04/17,412,Diners Club / Carte Blanche,Fisheries officer,215.63.180.154,ru,8.43
31,26 Lh,PM,Opera/8.84.(X11; Linux i686; sl-SI) Presto/2.9.169 Version/10.00,Nicholson Group,4614997834548,03/22,909,Mastercard,Sales executive,94.176.142.201,en,94.14
32,39 Qm,PM,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5331 (KHTML, like Gecko) Chrome/15.0.845.0 Safari/5331",Martinez-Wilson,4942281854569455,01/20,8360,JCB 16 digit,Civil Service fast streamer,196.37.134.217,pt,56.63
